t, u_learned, v_learned
1.616032064128256351e+01, 9.068529484427597653e-01, 1.206228259233180999e+00
1.620841683366733577e+01, 9.066729846287452377e-01, 1.206238079992454137e+00
1.625651302605210446e+01, 9.064952370011241101e-01, 1.206247723407550598e+00
1.630460921843687316e+01, 9.063196788749552368e-01, 1.206257192679019097e+00
1.635270541082164186e+01, 9.061462838798381991e-01, 1.206266490949387871e+00
1.640080160320641411e+01, 9.059750259564418595e-01, 1.206275621304100376e+00
1.644889779559118281e+01, 9.058058793530935349e-01, 1.206284586772421452e+00
1.649699398797595151e+01, 9.056388186224298975e-01, 1.206293390328316617e+00
1.654509018036072021e+01, 9.054738186181078285e-01, 1.206302034891302499e+00
1.659318637274549246e+01, 9.053108544915773326e-01, 1.206310523327269069e+00
1.664128256513026116e+01, 9.051499016889144045e-01, 1.206318858449272113e+00
1.668937875751502986e+01, 9.049909359477155135e-01, 1.206327043018299960e+00
1.673747494989979856e+01, 9.048339332940529278e-01, 1.206335079744009109e+00
1.678557114228456726e+01, 9.046788700358648905e-01, 1.206342971287509114e+00
1.683366733466933951e+01, 9.045257226874652279e-01, 1.206350720303576818e+00
1.688176352705410821e+01, 9.043744680696286231e-01, 1.206358329382386074e+00
1.692985971943887691e+01, 9.042250833034072288e-01, 1.206365801052066145e+00
1.697795591182364561e+01, 9.040775457807014304e-01, 1.206373137794572559e+00
1.702605210420841786e+01, 9.039318331613809265e-01, 1.206380342046369236e+00
1.707414829659318656e+01, 9.037879233704601001e-01, 1.206387416199084406e+00
1.712224448897795526e+01, 9.036457945953306758e-01, 1.206394362600140546e+00
1.717034068136272396e+01, 9.035054252830483357e-01, 1.206401183553361234e+00
1.721843687374749621e+01, 9.033667941376765098e-01, 1.206407881319549791e+00
1.726653306613226491e+01, 9.032298801176853464e-01, 1.206414458117045285e+00
1.731462925851703361e+01, 9.030946624334059702e-01, 1.206420916122250331e+00
1.736272545090180230e+01, 9.029611205445410294e-01, 1.206427257470136682e+00
1.741082164328657456e+01, 9.028292341577307534e-01, 1.206433484254722188e+00
1.745891783567134325e+01, 9.026989832241746337e-01, 1.206439598529525759e+00
1.750701402805611195e+01, 9.025703479373089477e-01, 1.206445602307993914e+00
1.755511022044088065e+01, 9.024433087305397949e-01, 1.206451497563903574e+00
